Station,       KINLOSS 
Latitude,      57.64574 
Longtude,      -3.56202 
Eastings,      306774 
Northings,     862804 
Altitude (m),  5 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.6,8
2020-06-02,13.4,11.4
2020-06-03,13.2,8.6
2020-06-04,11.4,6.5
2020-06-05,11.8,6.1
2020-06-06,14.1,7.2
2020-06-07,10.2,8.6
2020-06-08,13.4,6.1
2020-06-09,14.9,4.6
2020-06-10,13.8,7.9
2020-06-11,14,5.4
2020-06-12,14.6,9.3
2020-06-13,19.2,9.9
2020-06-14,18.5,11.2
2020-06-15,20.5,12.3
2020-06-16,18.8,13
2020-06-17,16.2,12.9
2020-06-18,19.3,11.2
2020-06-19,20.1,8.8
2020-06-20,20.7,9.4
2020-06-21,20.4,12.3
2020-06-22,20.8,9.4
2020-06-23,21.6,12.5
2020-06-24,21,12.9
2020-06-25,28,9.8
2020-06-26,24,11.3
2020-06-27,26.5,12.2
2020-06-28,17.5,12.5
2020-06-29,18.1,11.9
2020-06-30,18.2,12.7
