Station,       LOSSIEMOUTH 
Latitude,      57.71153 
Longtude,      -3.32186 
Eastings,      321249 
Northings,     869822 
Altitude (m),  7 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,21.9,7
2020-06-02,12.4,11.1
2020-06-03,12.4,8.1
2020-06-04,11.1,6.4
2020-06-05,11.7,6.7
2020-06-06,13.6,7.7
2020-06-07,11,8.2
2020-06-08,12.6,6.1
2020-06-09,14.2,6.7
2020-06-10,14.4,8.9
2020-06-11,13.1,8.3
2020-06-12,12.6,9.1
2020-06-13,14.7,9.7
2020-06-14,17.3,11.7
2020-06-15,18.5,12.1
2020-06-16,17.4,12.3
2020-06-17,15.7,12.7
2020-06-18,15.7,8.8
2020-06-19,21.7,11.4
2020-06-20,20.2,9.2
2020-06-21,20.4,12.9
2020-06-22,21.9,8.2
2020-06-23,21.9,11.7
2020-06-24,22.6,14.4
2020-06-25,28.2,12.9
2020-06-26,27,15.5
2020-06-27,24.2,13.3
2020-06-28,17.6,10.9
2020-06-29,17.5,11.9
2020-06-30,17.3,12.7
