Station,       DYCE 
Latitude,      57.20506 
Longtude,      -2.2037 
Eastings,      387695 
Northings,     812695 
Altitude (m),  65 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,21.3,6.1
2020-06-02,17.7,9.8
2020-06-03,10.1,7.5
2020-06-04,10.5,6
2020-06-05,10.7,5.6
2020-06-06,15.4,6.3
2020-06-07,10.6,8.1
2020-06-08,11.4,4.9
2020-06-09,15,2.9
2020-06-10,12.4,8.2
2020-06-11,15.1,6.7
2020-06-12,14.3,8.7
2020-06-13,13.9,10.7
2020-06-14,14.9,11
2020-06-15,15,11.1
2020-06-16,18.7,10.8
2020-06-17,17.1,11.2
2020-06-18,14.2,9.1
2020-06-19,17.5,10.7
2020-06-20,22,11.4
2020-06-21,18.4,10.9
2020-06-22,17.1,9.2
2020-06-23,20.4,12.3
2020-06-24,23.7,11.9
2020-06-25,21.6,11.4
2020-06-26,23.8,14.1
2020-06-27,20.4,12.8
2020-06-28,17.1,11.1
2020-06-29,18,11.4
2020-06-30,16.8,12.1
