Station,       BOULMER 
Latitude,      55.42083 
Longtude,      -1.59966 
Eastings,      425338 
Northings,     614178 
Altitude (m),  23 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,17.9,10.2
2020-06-02,19.3,8.4
2020-06-03,12.4,9.2
2020-06-04,12.8,7.9
2020-06-05,14.3,6
2020-06-06,13.2,6.9
2020-06-07,12.3,9.2
2020-06-08,11.7,6.2
2020-06-09,12.2,4.5
2020-06-10,12.7,9.3
2020-06-11,12.5,10
2020-06-12,12.3,9.9
2020-06-13,13.9,10.7
2020-06-14,18.3,10.7
2020-06-15,16,11.7
2020-06-16,14.7,12.2
2020-06-17,15.3,12
2020-06-18,16.2,11.1
2020-06-19,17.3,11.6
2020-06-20,21.3,12.2
2020-06-21,19.3,12.7
2020-06-22,20.6,8
2020-06-23,23.4,14.9
2020-06-24,20.6,11.9
2020-06-25,18.6,11.3
2020-06-26,19.4,12
2020-06-27,18.1,12.9
2020-06-28,15.8,10.6
2020-06-29,17.9,12.2
2020-06-30,18,12
