Station,       LINTON ON OUSE 
Latitude,      54.04502 
Longtude,      -1.24956 
Eastings,      449133 
Northings,     461287 
Altitude (m),  14 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,22.9,6.4
2020-06-02,24.9,6.6
2020-06-03,12.9,11.9
2020-06-04,15.7,7.9
2020-06-05,14.5,7.3
2020-06-06,15.8,7.6
2020-06-07,12.4,6.9
2020-06-08,14,7
2020-06-09,17.5,4.6
2020-06-10,14.7,9.6
2020-06-11,15.7,10
2020-06-12,15.9,11
2020-06-13,22.6,12.8
2020-06-14,22.7,12.6
2020-06-15,22.3,13.9
2020-06-16,22.9,13.3
2020-06-17,22.3,11.5
2020-06-18,15.2,12.5
2020-06-19,18.8,11.5
2020-06-20,22,9.9
2020-06-21,20.9,13
2020-06-22,22.4,9.9
2020-06-23,25.6,14.6
2020-06-24,29.1,14.9
2020-06-25,28.2,12.2
2020-06-26,27.8,12.2
2020-06-27,21.2,14.3
2020-06-28,17.4,12.2
2020-06-29,15.7,11.5
2020-06-30,17.4,12.1
