Station,       LECONFIELD 
Latitude,      53.87437 
Longtude,      -0.44009 
Eastings,      502545 
Northings,     443169 
Altitude (m),  7 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,20.1,6.3
2020-06-02,22.3,6.4
2020-06-03,14.2,11.9
2020-06-04,14,8.5
2020-06-05,13.7,7.1
2020-06-06,14.1,7.5
2020-06-07,12.2,6.4
2020-06-08,13.7,7.6
2020-06-09,16.7,4.3
2020-06-10,14.2,9.4
2020-06-11,14.6,10.2
2020-06-12,15.1,11.1
2020-06-13,20.2,11.4
2020-06-14,18.8,11.4
2020-06-15,19.5,12.3
2020-06-16,18,11.6
2020-06-17,19.3,11.4
2020-06-18,16.5,12.3
2020-06-19,19.5,10.8
2020-06-20,21.5,11
2020-06-21,20.8,13.7
2020-06-22,22.6,9.6
2020-06-23,25.8,13.5
2020-06-24,28.3,13.1
2020-06-25,25.1,11.5
2020-06-26,28.7,11.7
2020-06-27,21.6,15.3
2020-06-28,18.5,11.6
2020-06-29,15.8,12.2
2020-06-30,16.7,12.5
