Station,       CRANWELL 
Latitude,      53.03088 
Longtude,      -0.50194 
Eastings,      500451 
Northings,     349260 
Altitude (m),  63 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,23.2,9.1
2020-06-02,23.7,8.7
2020-06-03,14,12.4
2020-06-04,14.1,8.7
2020-06-05,14.1,7
2020-06-06,16.2,6.6
2020-06-07,12.7,6.7
2020-06-08,13.5,8.8
2020-06-09,17.2,4.6
2020-06-10,13.7,9.4
2020-06-11,16.2,10.1
2020-06-12,16.9,11.2
2020-06-13,24.1,11.8
2020-06-14,22.2,11
2020-06-15,22.7,12
2020-06-16,22.8,12
2020-06-17,23.1,10.7
2020-06-18,18.2,12.5
2020-06-19,18.6,8.7
2020-06-20,22.2,8.8
2020-06-21,20.9,13.2
2020-06-22,23.4,7.5
2020-06-23,26.4,12.8
2020-06-24,29.3,12.6
2020-06-25,28.3,13.5
2020-06-26,30.8,13.5
2020-06-27,22.2,13.1
2020-06-28,20.3,10.9
2020-06-29,15.4,11.9
2020-06-30,20.8,12.2
