Station,       MARHAM 
Latitude,      52.65096 
Longtude,      0.56772 
Eastings,      573675 
Northings,     309048 
Altitude (m),  21 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.2,7.8
2020-06-02,21.7,6.7
2020-06-03,15.9,9.4
2020-06-04,14.3,10
2020-06-05,14.7,8.1
2020-06-06,15.1,5.9
2020-06-07,14,4.9
2020-06-08,14.4,9.3
2020-06-09,16.9,2.8
2020-06-10,15.5,10.3
2020-06-11,19.1,10
2020-06-12,19.9,12.4
2020-06-13,24.5,13.9
2020-06-14,24.5,11.5
2020-06-15,23.9,12.7
2020-06-16,22.9,12.5
2020-06-17,22.2,11.4
2020-06-18,20.2,12.9
2020-06-19,19.8,11.8
2020-06-20,22.1,9.7
2020-06-21,21.6,13.3
2020-06-22,22.9,8.7
2020-06-23,26.3,12.2
2020-06-24,29.2,14.5
2020-06-25,28.9,15.9
2020-06-26,29.4,16.1
2020-06-27,21.8,14.2
2020-06-28,20.3,11
2020-06-29,17.9,11.2
2020-06-30,20.3,12.8
