Station,       WATTISHAM 
Latitude,      52.12342 
Longtude,      0.9591 
Eastings,      602543 
Northings,     251410 
Altitude (m),  89 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,23.3,8.6
2020-06-02,23.7,7.7
2020-06-03,19.6,10.6
2020-06-04,14.7,10.2
2020-06-05,14,8.3
2020-06-06,13.7,4.2
2020-06-07,13.8,5.1
2020-06-08,14.8,8.8
2020-06-09,17.4,4.8
2020-06-10,13.3,9.3
2020-06-11,18.4,9.6
2020-06-12,20,12.5
2020-06-13,23.4,13.4
2020-06-14,23,11.6
2020-06-15,24,11
2020-06-16,23.1,12.9
2020-06-17,22,12.8
2020-06-18,20.6,12
2020-06-19,20.2,11.8
2020-06-20,21,9.5
2020-06-21,21.8,14.1
2020-06-22,22.5,7.9
2020-06-23,25.2,11.5
2020-06-24,28.2,15
2020-06-25,28,15.9
2020-06-26,27.8,17
2020-06-27,20.9,14.2
2020-06-28,20.5,11.4
2020-06-29,19.9,10.5
2020-06-30,19,12.5
