Station,       NOTTINGHAM, WATNALL 
Latitude,      53.00528 
Longtude,      -1.24969 
Eastings,      450342 
Northings,     345627 
Altitude (m),  117 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,23.5,7.8
2020-06-02,24.1,8.7
2020-06-03,13.6,11.6
2020-06-04,14.5,8
2020-06-05,13.4,6.5
2020-06-06,15.8,6.7
2020-06-07,13.2,8.3
2020-06-08,13.8,7.3
2020-06-09,17.2,6.5
2020-06-10,14.7,9.3
2020-06-11,15.4,9.8
2020-06-12,15.1,10.6
2020-06-13,23.5,12.7
2020-06-14,22.1,11.4
2020-06-15,21.9,11.6
2020-06-16,21.8,12.7
2020-06-17,21.9,12.7
2020-06-18,15.7,12.5
2020-06-19,16.9,10.9
2020-06-20,21.4,9.1
2020-06-21,18.6,12.7
2020-06-22,22.8,8.1
2020-06-23,25.9,12.6
2020-06-24,29.2,14.8
2020-06-25,28.9,15.2
2020-06-26,28.9,15.4
2020-06-27,20.7,14.1
2020-06-28,18,10.7
2020-06-29,14.9,11.5
2020-06-30,19.2,12.3
