Station,       WITTERING 
Latitude,      52.61146 
Longtude,      -0.46632 
Eastings,      503834 
Northings,     302664 
Altitude (m),  74 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,23.6,9.3
2020-06-02,23.6,8.6
2020-06-03,17.2,11.7
2020-06-04,13.8,9.1
2020-06-05,14.7,7.6
2020-06-06,16.3,6
2020-06-07,12.8,5.4
2020-06-08,14.6,8.2
2020-06-09,17.2,4.7
2020-06-10,14.1,10.1
2020-06-11,17.5,9.8
2020-06-12,19.2,11.5
2020-06-13,24.3,11.8
2020-06-14,22.7,11.6
2020-06-15,22.9,12.6
2020-06-16,23.4,12.8
2020-06-17,23.5,11.5
2020-06-18,18.3,12.3
2020-06-19,17.6,10.8
2020-06-20,22.3,8
2020-06-21,21.3,12.9
2020-06-22,23,7.6
2020-06-23,26.2,11.2
2020-06-24,29.5,14.3
2020-06-25,29.6,14.8
2020-06-26,30.2,14.8
2020-06-27,22.6,12.6
2020-06-28,20.9,10.5
2020-06-29,16.8,11.2
2020-06-30,21.4,12.6
