Station,       CHURCH LAWFORD 
Latitude,      52.35844 
Longtude,      -1.32987 
Eastings,      445632 
Northings,     273629 
Altitude (m),  107 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.5,7.7
2020-06-02,23.9,7.5
2020-06-03,15.4,13
2020-06-04,13.5,8.5
2020-06-05,15.6,8.8
2020-06-06,14.1,6
2020-06-07,14.6,7.7
2020-06-08,16.1,7.1
2020-06-09,18.3,8.1
2020-06-10,15.5,10.1
2020-06-11,18.4,10
2020-06-12,19,11.3
2020-06-13,23.6,12.5
2020-06-14,22.8,10.9
2020-06-15,24.4,11
2020-06-16,23.2,12.8
2020-06-17,22.4,11.9
2020-06-18,16.4,12.8
2020-06-19,17.2,12.4
2020-06-20,21,10.2
2020-06-21,19.5,12.8
2020-06-22,22.2,9.5
2020-06-23,26.2,11.8
2020-06-24,29.5,13
2020-06-25,30.1,16.3
2020-06-26,28.4,16.6
2020-06-27,20.1,14.1
2020-06-28,18.9,10.4
2020-06-29,15,12
2020-06-30,18.3,12.4
