Station,       SHAWBURY 
Latitude,      52.79433 
Longtude,      -2.66329 
Eastings,      355280 
Northings,     322106 
Altitude (m),  72 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,23.9,7.1
2020-06-02,24.8,8.8
2020-06-03,13.4,12.6
2020-06-04,15,7.3
2020-06-05,14.7,7.6
2020-06-06,16.3,5.9
2020-06-07,18.4,6.3
2020-06-08,17.2,8.8
2020-06-09,18.1,8.6
2020-06-10,16.8,10.2
2020-06-11,17.1,11.1
2020-06-12,19.6,10.7
2020-06-13,23.9,13.8
2020-06-14,19.8,13.1
2020-06-15,23,11.2
2020-06-16,20.9,14
2020-06-17,20.8,13.2
2020-06-18,15.7,13.1
2020-06-19,15.8,13
2020-06-20,21.6,8.9
2020-06-21,19.3,12.1
2020-06-22,22.1,7.5
2020-06-23,24.9,14.2
2020-06-24,29.5,11.6
2020-06-25,29.4,16.6
2020-06-26,26.7,17.5
2020-06-27,19.7,13.9
2020-06-28,16.9,11.1
2020-06-29,14.7,11.6
2020-06-30,18.3,12
