Station,       LONDON, ST JAMES'S PARK 
Latitude,      51.50425 
Longtude,      -0.12948 
Eastings,      529808 
Northings,     180081 
Altitude (m),  5 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,25.8,12.3
2020-06-02,25.5,13.1
2020-06-03,19.4,13.9
2020-06-04,17,10.9
2020-06-05,17.6,10.3
2020-06-06,14.7,7.9
2020-06-07,18.8,7.5
2020-06-08,16.2,10.6
2020-06-09,19.8,9
2020-06-10,15.8,13.2
2020-06-11,20.1,11.4
2020-06-12,21.3,13.8
2020-06-13,25.1,13.5
2020-06-14,23,13.7
2020-06-15,24.1,12
2020-06-16,24.2,13.9
2020-06-17,22.3,13.4
2020-06-18,20.5,13.9
2020-06-19,19.6,13.9
2020-06-20,22.4,12.7
2020-06-21,23,14.7
2020-06-22,23.7,11.1
2020-06-23,28.2,13
2020-06-24,30.6,16.5
2020-06-25,31.5,18.2
2020-06-26,30.2,18.8
2020-06-27,21.2,16.1
2020-06-28,20.9,12.4
2020-06-29,19.9,12.3
2020-06-30,19.3,13.1
