Station,       HEATHROW 
Latitude,      51.47872 
Longtude,      -0.44904 
Eastings,      507693 
Northings,     176724 
Altitude (m),  25 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,26.8,11.3
2020-06-02,25.4,12.3
2020-06-03,19.2,13.6
2020-06-04,16.6,10.5
2020-06-05,16.4,11.2
2020-06-06,14.5,7.2
2020-06-07,18.7,8.1
2020-06-08,16.6,10.4
2020-06-09,20.1,10.6
2020-06-10,16.4,12.7
2020-06-11,21.4,10.9
2020-06-12,21.4,13.7
2020-06-13,25.1,12.3
2020-06-14,22.9,12.9
2020-06-15,25.3,11.5
2020-06-16,24.9,13.5
2020-06-17,22.6,12.8
2020-06-18,19.1,13.8
2020-06-19,20.8,13.4
2020-06-20,23,11.8
2020-06-21,23.9,14.1
2020-06-22,23.9,10.3
2020-06-23,28.6,11.8
2020-06-24,32.6,16.7
2020-06-25,33.4,18.3
2020-06-26,31,19.4
2020-06-27,21.4,15.3
2020-06-28,22,12.3
2020-06-29,21.7,12.2
2020-06-30,20.1,12.8
