Station,       NORTHOLT 
Latitude,      51.54815 
Longtude,      -0.41534 
Eastings,      509866 
Northings,     184494 
Altitude (m),  33 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,25.9,10.6
2020-06-02,24.1,12.1
2020-06-03,18.8,11.5
2020-06-04,15.7,10.3
2020-06-05,16.3,9.8
2020-06-06,14.5,6.6
2020-06-07,18.4,6.3
2020-06-08,16.3,10.4
2020-06-09,20.3,9.3
2020-06-10,16.1,12.4
2020-06-11,21,10.9
2020-06-12,20.5,13.6
2020-06-13,24.6,12
2020-06-14,22.7,11.2
2020-06-15,25.3,10.1
2020-06-16,24.2,13
2020-06-17,23.1,11.5
2020-06-18,19.4,13.8
2020-06-19,19.9,13.3
2020-06-20,22.6,11.5
2020-06-21,22.6,14
2020-06-22,23.3,8.8
2020-06-23,28.5,11.6
2020-06-24,31.5,15.6
2020-06-25,32.6,17.2
2020-06-26,30.3,17.6
2020-06-27,20.6,15
2020-06-28,20.5,11.7
2020-06-29,20.1,12
2020-06-30,19,12.7
