Station,       THORNEY ISLAND 
Latitude,      50.81422 
Longtude,      -0.92098 
Eastings,      476008 
Northings,     102247 
Altitude (m),  4 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,25,11.4
2020-06-02,25.6,12
2020-06-03,16.6,11.7
2020-06-04,16,9.8
2020-06-05,17.9,11.5
2020-06-06,15,7.5
2020-06-07,18.1,8.1
2020-06-08,18,10.7
2020-06-09,16.8,11.1
2020-06-10,15.4,12.2
2020-06-11,20,11.5
2020-06-12,19.2,13.3
2020-06-13,21.6,11.2
2020-06-14,19,12.2
2020-06-15,19.6,10.5
2020-06-16,18.8,10.9
2020-06-17,20.4,10
2020-06-18,16.8,14
2020-06-19,18.3,13.8
2020-06-20,19,13.7
2020-06-21,19.6,14.4
2020-06-22,21.2,8
2020-06-23,24.4,11.6
2020-06-24,29,15.7
2020-06-25,29.8,18.6
2020-06-26,23,17.3
2020-06-27,18.7,14.9
2020-06-28,18.8,13.4
2020-06-29,18.2,13.6
2020-06-30,18.2,14.2
