Station,       HERSTMONCEUX, WEST END 
Latitude,      50.89038 
Longtude,      0.31818 
Eastings,      563024 
Northings,     112721 
Altitude (m),  52 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.7,12.3
2020-06-02,25.3,12.7
2020-06-03,19.7,9.9
2020-06-04,17.4,10.4
2020-06-05,17.5,10.6
2020-06-06,14.7,6
2020-06-07,17.7,7.1
2020-06-08,15.9,9.7
2020-06-09,18,6.5
2020-06-10,16.6,10.2
2020-06-11,19.4,10.1
2020-06-12,18.8,12.7
2020-06-13,24,11.9
2020-06-14,20.9,11
2020-06-15,22.2,10.1
2020-06-16,22,11.7
2020-06-17,23.3,10.8
2020-06-18,18.8,14
2020-06-19,17.9,12
2020-06-20,20.2,11.6
2020-06-21,19.3,13.6
2020-06-22,21.1,8.3
2020-06-23,26.4,9.2
2020-06-24,30.7,15.6
2020-06-25,31.6,17.6
2020-06-26,25.3,16.9
2020-06-27,18.5,14.1
2020-06-28,18.5,12.6
2020-06-29,16.8,12.9
2020-06-30,18,13.3
