Station,       ODIHAM 
Latitude,      51.2385 
Longtude,      -0.94346 
Eastings,      473748 
Northings,     149401 
Altitude (m),  118 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,25,9.1
2020-06-02,23.8,10.7
2020-06-03,17.6,11.5
2020-06-04,14.6,9.4
2020-06-05,16.9,10.7
2020-06-06,14.4,5.6
2020-06-07,19.8,7.5
2020-06-08,16.7,9.7
2020-06-09,18.6,9.4
2020-06-10,14.3,11.1
2020-06-11,20.7,9.9
2020-06-12,20.4,12.8
2020-06-13,22.4,9.4
2020-06-14,20.9,9.8
2020-06-15,22.4,9.3
2020-06-16,22.2,10.6
2020-06-17,22.7,10.1
2020-06-18,16.6,13.9
2020-06-19,18.5,13
2020-06-20,21.3,11.6
2020-06-21,21,13.2
2020-06-22,21,9
2020-06-23,26.4,10.9
2020-06-24,31.5,14
2020-06-25,32.1,15
2020-06-26,27.3,16.8
2020-06-27,19,13.9
2020-06-28,18.5,10.8
2020-06-29,18.3,11.1
2020-06-30,16.8,11
