Station,       BOSCOMBE DOWN 
Latitude,      51.16127 
Longtude,      -1.75317 
Eastings,      417258 
Northings,     140312 
Altitude (m),  126 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.6,9.9
2020-06-02,25.3,11.3
2020-06-03,17.6,13.7
2020-06-04,16.3,8.8
2020-06-05,18.1,10
2020-06-06,14.9,5.4
2020-06-07,19.2,5.7
2020-06-08,18.6,6.9
2020-06-09,17.5,8.2
2020-06-10,13.7,10.4
2020-06-11,18.9,10.2
2020-06-12,20.5,12.1
2020-06-13,20.9,10.7
2020-06-14,21,10.6
2020-06-15,21.8,8.1
2020-06-16,21.3,10.6
2020-06-17,23.3,9.7
2020-06-18,15.8,13.6
2020-06-19,18.2,12.3
2020-06-20,20,10.6
2020-06-21,19.9,12.8
2020-06-22,20.7,7.5
2020-06-23,25.8,9.6
2020-06-24,30.3,14.7
2020-06-25,31,17
2020-06-26,25.2,16.7
2020-06-27,18.6,13.3
2020-06-28,18.7,9.7
2020-06-29,18.1,10.9
2020-06-30,17.7,10.3
