Station,       MACHRIHANISH 
Latitude,      55.44081 
Longtude,      -5.69571 
Eastings,      166270 
Northings,     622539 
Altitude (m),  10 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,22.5,9.3
2020-06-02,17.3,10.7
2020-06-03,14.9,9.9
2020-06-04,13.3,9.6
2020-06-05,12.6,7.7
2020-06-06,13.7,7.7
2020-06-07,15,9.6
2020-06-08,14.1,8.1
2020-06-09,12.3,4.5
2020-06-10,14.2,9.2
2020-06-11,17.4,9.8
2020-06-12,20.9,11.6
2020-06-13,18.7,11.8
2020-06-14,19.1,10.8
2020-06-15,15.3,9.2
2020-06-16,15.5,10.9
2020-06-17,16.4,11.6
2020-06-18,21.6,10.5
2020-06-19,17.6,12.4
2020-06-20,18.6,10.9
2020-06-21,17.2,11.9
2020-06-22,15.4,7.3
2020-06-23,16.1,11.5
2020-06-24,18.1,11.8
2020-06-25,21.2,9
2020-06-26,20.9,12.6
2020-06-27,15.7,12.2
2020-06-28,13.7,11.4
2020-06-29,15.2,11.7
2020-06-30,15,11.5
