Station,       PRESTWICK, GANNET 
Latitude,      55.51534 
Longtude,      -4.58343 
Eastings,      236902 
Northings,     627653 
Altitude (m),  27 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,22.4,9.6
2020-06-02,19.5,9.3
2020-06-03,16.5,9.3
2020-06-04,15.1,8.1
2020-06-05,13,6.7
2020-06-06,16.7,8
2020-06-07,18.4,7.1
2020-06-08,16.2,8.2
2020-06-09,13.3,8.5
2020-06-10,14.5,8.9
2020-06-11,17.4,9.4
2020-06-12,20.2,11.3
2020-06-13,18.1,11.6
2020-06-14,23.4,10.9
2020-06-15,22.6,13
2020-06-16,20.5,12.9
2020-06-17,21.5,13.3
2020-06-18,22.4,10.6
2020-06-19,18.8,12.4
2020-06-20,19.8,11.5
2020-06-21,17.9,13
2020-06-22,16.6,9.2
2020-06-23,18.2,12.3
2020-06-24,24,13.9
2020-06-25,30.8,11.1
2020-06-26,22.9,15.4
2020-06-27,19.1,11.4
2020-06-28,13.8,11
2020-06-29,13.4,11.6
2020-06-30,14.8,11.8
