Station,       RHYL NO 2 
Latitude,      53.25905 
Longtude,      -3.50754 
Eastings,      299448 
Northings,     374652 
Altitude (m),  77 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,21.5,10.3
2020-06-02,22.3,10.1
2020-06-03,12.2,11.6
2020-06-04,14.3,7.2
2020-06-05,13.2,9.7
2020-06-06,13.6,6.9
2020-06-07,15.9,10.3
2020-06-08,15.1,10.5
2020-06-09,15.9,10.4
2020-06-10,16.1,10.1
2020-06-11,15.8,11.1
2020-06-12,17.7,10.7
2020-06-13,23.2,13.4
2020-06-14,20.7,13.4
2020-06-15,19.5,11.9
2020-06-16,19.7,14.2
2020-06-17,22.1,14.2
2020-06-18,16.5,11.9
2020-06-19,17.1,11.7
2020-06-20,21.3,11.8
2020-06-21,18.3,12.3
2020-06-22,19.2,10.4
2020-06-23,23.8,15.5
2020-06-24,24.8,13
2020-06-25,28.8,14.2
2020-06-26,25,17.1
2020-06-27,18.5,13.7
2020-06-28,15.7,11.5
2020-06-29,16.3,11
2020-06-30,17.2,11.7
