Station,       HAWARDEN AIRPORT 
Latitude,      53.17516 
Longtude,      -2.98499 
Eastings,      334172 
Northings,     364713 
Altitude (m),  11 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.5,7.5
2020-06-02,23.6,8.8
2020-06-03,13.4,12
2020-06-04,14.5,8.5
2020-06-05,14,8.2
2020-06-06,16,7.4
2020-06-07,17.8,10.8
2020-06-08,16.5,9.8
2020-06-09,17.4,10.3
2020-06-10,16.6,10.5
2020-06-11,18,11.8
2020-06-12,18.7,11.3
2020-06-13,24.2,13.9
2020-06-14,22.8,10.8
2020-06-15,22.1,10.5
2020-06-16,21.8,14.4
2020-06-17,22.7,13.4
2020-06-18,15.7,12.9
2020-06-19,18.4,13.3
2020-06-20,22.7,8.4
2020-06-21,19.1,11.7
2020-06-22,20.8,9.5
2020-06-23,25,15.3
2020-06-24,28.4,11.1
2020-06-25,30,13.1
2020-06-26,27.3,17.7
2020-06-27,20.4,14.3
2020-06-28,17,11.5
2020-06-29,16.7,11.9
2020-06-30,19.5,12.8
