Station,       MUMBLES HEAD 
Latitude,      51.56513 
Longtude,      -3.98056 
Eastings,      262739 
Northings,     187051 
Altitude (m),  43 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,21.6,14.3
2020-06-02,24.5,15.7
2020-06-03,15.8,13.2
2020-06-04,15.4,9.2
2020-06-05,16.6,10.2
2020-06-06,14.1,7.4
2020-06-07,17,9
2020-06-08,18.9,11.5
2020-06-09,16,7.8
2020-06-10,15.9,10.8
2020-06-11,17.4,11.2
2020-06-12,20,12.7
2020-06-13,19.7,12.7
2020-06-14,19.6,13.1
2020-06-15,18.8,12.7
2020-06-16,20.9,13.5
2020-06-17,18.5,14.1
2020-06-18,16.4,13.6
2020-06-19,16,12.3
2020-06-20,18.5,12.6
2020-06-21,16.2,14
2020-06-22,19.7,12.8
2020-06-23,22.3,14.8
2020-06-24,27.2,16.8
2020-06-25,26.8,18.3
2020-06-26,16.9,14.5
2020-06-27,15.8,14
2020-06-28,15.6,12.2
2020-06-29,15.3,13.1
2020-06-30,15.7,12.8
