Station,       YEOVILTON 
Latitude,      51.00586 
Longtude,      -2.64148 
Eastings,      354998 
Northings,     123197 
Altitude (m),  20 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,25.4,10.2
2020-06-02,25.5,9.3
2020-06-03,16.5,13.9
2020-06-04,16.4,9
2020-06-05,17.9,11.3
2020-06-06,15,6.1
2020-06-07,19.7,4.2
2020-06-08,19.3,10.1
2020-06-09,20.4,8.3
2020-06-10,16,11
2020-06-11,19.9,10.9
2020-06-12,21.8,12.8
2020-06-13,20.9,9.6
2020-06-14,20.9,12.2
2020-06-15,22,9
2020-06-16,21.1,12.1
2020-06-17,20.3,9.3
2020-06-18,16.3,13.3
2020-06-19,17.7,12.4
2020-06-20,19.2,12.6
2020-06-21,20.1,13.3
2020-06-22,20.7,8.3
2020-06-23,25.1,11.2
2020-06-24,29.2,11.7
2020-06-25,30.4,13.4
2020-06-26,22.2,16.8
2020-06-27,19.4,14.8
2020-06-28,19.1,10.8
2020-06-29,17.6,11.5
2020-06-30,19.2,11.5
