Station,       DUNKESWELL AERODROME 
Latitude,      50.85969 
Longtude,      -3.2389 
Eastings,      312815 
Northings,     107480 
Altitude (m),  252 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,23.6,9.6
2020-06-02,24.7,11
2020-06-03,14.1,13.6
2020-06-04,14.8,7.8
2020-06-05,15.2,9.5
2020-06-06,13.2,5.6
2020-06-07,18.3,7.4
2020-06-08,18.6,8.3
2020-06-09,18.5,6.6
2020-06-10,15.8,9.4
2020-06-11,16.7,9
2020-06-12,17.8,10.9
2020-06-13,17.6,7.9
2020-06-14,19.5,9.8
2020-06-15,20,8.7
2020-06-16,20.4,9.7
2020-06-17,20.1,9.6
2020-06-18,14.6,12.1
2020-06-19,16.4,10.7
2020-06-20,17.8,11
2020-06-21,18.1,11.9
2020-06-22,19.2,7.3
2020-06-23,23.3,11.7
2020-06-24,28.2,14.7
2020-06-25,28,16.4
2020-06-26,22.9,14.9
2020-06-27,16.6,12.9
2020-06-28,17.2,9.7
2020-06-29,15.5,10
2020-06-30,17.7,10.3
