Station,       TOPCLIFFE 
Latitude,      54.20454 
Longtude,      -1.38856 
Eastings,      439879 
Northings,     478946 
Altitude (m),  25 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,23.2,6
2020-06-02,24.8,7.1
2020-06-03,12.6,11.1
2020-06-04,14.6,8
2020-06-05,14.5,7.1
2020-06-06,14.4,7.4
2020-06-07,12.3,5.8
2020-06-08,14,7.7
2020-06-09,17.1,2.2
2020-06-10,14.7,9.8
2020-06-11,13.7,9.9
2020-06-12,14.3,10.6
2020-06-13,22.3,12.2
2020-06-14,20.8,11.7
2020-06-15,22,12.8
2020-06-16,22.7,13.8
2020-06-17,21.6,12.1
2020-06-18,15.4,12.5
2020-06-19,19.6,11.6
2020-06-20,22,8.6
2020-06-21,19.5,12.8
2020-06-22,21.4,6.6
2020-06-23,25,13.4
2020-06-24,28.4,13.4
2020-06-25,27.8,12.3
2020-06-26,27.3,11.3
2020-06-27,20.4,12.1
2020-06-28,16.7,11.4
2020-06-29,16,11.5
2020-06-30,16.8,12.1
