Station,       LEEMING 
Latitude,      54.29682 
Longtude,      -1.53145 
Eastings,      430491 
Northings,     489141 
Altitude (m),  33 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,22.4,6
2020-06-02,23.8,6.6
2020-06-03,13.1,10.5
2020-06-04,14.2,7.2
2020-06-05,14.2,6.6
2020-06-06,14.4,6.9
2020-06-07,12.1,6.5
2020-06-08,13.6,6.8
2020-06-09,15.9,2.5
2020-06-10,15.2,9.5
2020-06-11,13.3,9.9
2020-06-12,13.8,10.6
2020-06-13,20.5,11.7
2020-06-14,19.9,11.4
2020-06-15,22.7,12
2020-06-16,21.4,13.4
2020-06-17,20.2,11.9
2020-06-18,15.2,11.7
2020-06-19,18.6,12.3
2020-06-20,21.2,11.7
2020-06-21,19.3,13.1
2020-06-22,20.7,9.7
2020-06-23,24.3,15.5
2020-06-24,28.2,14.6
2020-06-25,27.7,12
2020-06-26,26.4,11.6
2020-06-27,20.3,13.1
2020-06-28,16.3,11.5
2020-06-29,17.4,11
2020-06-30,17.8,11.8
