Station,       COLESHILL 
Latitude,      52.47975 
Longtude,      -1.68925 
Eastings,      421102 
Northings,     286956 
Altitude (m),  96 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.2,6.7
2020-06-02,24.6,7.4
2020-06-03,14,12.2
2020-06-04,13.7,8.3
2020-06-05,15.4,8.3
2020-06-06,15.6,5.9
2020-06-07,14.3,7.7
2020-06-08,16.5,4.4
2020-06-09,19.5,9
2020-06-10,15.8,9.9
2020-06-11,17.2,10.2
2020-06-12,18.6,11
2020-06-13,24.2,11.7
2020-06-14,24,11.6
2020-06-15,25.2,11.3
2020-06-16,22,13.8
2020-06-17,21.1,11.2
2020-06-18,15.2,12.7
2020-06-19,17,12.5
2020-06-20,20.9,9.2
2020-06-21,19.9,12.7
2020-06-22,22.5,8.7
2020-06-23,26.2,12.4
2020-06-24,30,13.5
2020-06-25,30.5,14.6
2020-06-26,27.3,17
2020-06-27,19.8,13.6
2020-06-28,18.9,10.5
2020-06-29,15,12.2
2020-06-30,18.5,12.6
