Station,       ANDREWSFIELD 
Latitude,      51.89568 
Longtude,      0.45225 
Eastings,      568711 
Northings,     224794 
Altitude (m),  87 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,23.7,9.5
2020-06-02,23,8.8
2020-06-03,18.8,10.9
2020-06-04,14.5,9.3
2020-06-05,14.2,9.3
2020-06-06,14.1,5
2020-06-07,14.9,5.1
2020-06-08,13.9,8.5
2020-06-09,17.5,3.2
2020-06-10,13.8,9.8
2020-06-11,18.7,9.7
2020-06-12,20,12.6
2020-06-13,23.5,12
2020-06-14,23.6,9.8
2020-06-15,24,10.3
2020-06-16,23.3,11.7
2020-06-17,23,11.1
2020-06-18,20.1,12.8
2020-06-19,19.7,11
2020-06-20,21.5,11
2020-06-21,21.6,13.9
2020-06-22,22.7,8.2
2020-06-23,25.7,11.3
2020-06-24,28.9,12.7
2020-06-25,29.1,14.6
2020-06-26,28.6,13.7
2020-06-27,21,14
2020-06-28,20.3,11.3
2020-06-29,18.9,10.6
2020-06-30,19,12.9
