Station,       ST ATHAN 
Latitude,      51.40497 
Longtude,      -3.43952 
Eastings,      299883 
Northings,     168365 
Altitude (m),  49 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.9,12.4
2020-06-02,22.3,12.9
2020-06-03,15.6,13.6
2020-06-04,15.4,7.6
2020-06-05,16,10.5
2020-06-06,13.9,6.8
2020-06-07,17.8,8.3
2020-06-08,17.3,10.2
2020-06-09,17.3,7.2
2020-06-10,16.7,10.8
2020-06-11,18,11
2020-06-12,20.8,12.4
2020-06-13,20.8,10.8
2020-06-14,20.4,12.7
2020-06-15,20.7,12.7
2020-06-16,21.4,13.2
2020-06-17,19.4,11.9
2020-06-18,15.6,14
2020-06-19,16.5,12.4
2020-06-20,19.7,12.7
2020-06-21,17.1,13.2
2020-06-22,21.4,11.7
2020-06-23,23.5,12.3
2020-06-24,28.3,14.8
2020-06-25,28.8,16.7
2020-06-26,18.1,15.1
2020-06-27,17.7,14.4
2020-06-28,16.6,12.2
2020-06-29,16.1,12.6
2020-06-30,16.6,13.2
