Station,       GLASGOW, BISHOPTON 
Latitude,      55.9068 
Longtude,      -4.53122 
Eastings,      241788 
Northings,     671079 
Altitude (m),  59 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.8,7.9
2020-06-02,22.7,9.5
2020-06-03,17.7,8.6
2020-06-04,15.9,8.6
2020-06-05,14.1,6.2
2020-06-06,18.4,8.3
2020-06-07,19.4,8.8
2020-06-08,17.5,7.9
2020-06-09,13.6,6.9
2020-06-10,15,8.1
2020-06-11,17.4,8.8
2020-06-12,21.4,11.2
2020-06-13,15.6,11.9
2020-06-14,22.7,12.6
2020-06-15,19.8,14
2020-06-16,23.7,14.1
2020-06-17,22.5,13.1
2020-06-18,21.9,9.9
2020-06-19,20.9,11.7
2020-06-20,19.8,11.1
2020-06-21,18,12.3
2020-06-22,15.9,7.4
2020-06-23,17,11.6
2020-06-24,20.6,13.8
2020-06-25,28,13.1
2020-06-26,21.3,14.2
2020-06-27,18.2,9.6
2020-06-28,14,10.9
2020-06-29,14.2,11.3
2020-06-30,19.7,11.5
