Station,       SOUTHAMPTON, OCEANOGRAPHY CENTRE 
Latitude,      50.89182 
Longtude,      -1.39361 
Eastings,      442645 
Northings,     110496 
Altitude (m),  26 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,26.3,12.2
2020-06-02,26.9,13.8
2020-06-03,18.2,14.9
2020-06-04,16.6,10.6
2020-06-05,17.2,11.1
2020-06-06,16,7.9
2020-06-07,20.6,9
2020-06-08,18.2,10.6
2020-06-09,16.9,12.3
2020-06-10,15.8,11.9
2020-06-11,19.6,11.7
2020-06-12,20.2,13.1
2020-06-13,20.2,12.3
2020-06-14,20.8,14
2020-06-15,22.3,12.5
2020-06-16,21.5,14.2
2020-06-17,22.2,11.4
2020-06-18,17.1,14.9
2020-06-19,17.7,13.5
2020-06-20,19.3,13.5
2020-06-21,20.4,14.1
2020-06-22,19.5,11.4
2020-06-23,23.9,14
2020-06-24,29.2,16.1
2020-06-25,26.5,20.7
2020-06-26,21.6,18.9
2020-06-27,18.3,15.1
2020-06-28,18.4,12.5
2020-06-29,18.1,12.6
2020-06-30,17.4,13.4
