Station,       ALBEMARLE 
Latitude,      55.01972 
Longtude,      -1.88012 
Eastings,      407664 
Northings,     569478 
Altitude (m),  142 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,20.4,8.2
2020-06-02,23.3,6.3
2020-06-03,12.6,8.3
2020-06-04,13.1,6
2020-06-05,13.7,4.8
2020-06-06,13.6,5.5
2020-06-07,11.7,8.2
2020-06-08,12.3,4.7
2020-06-09,14.3,2.8
2020-06-10,12.6,8.3
2020-06-11,13.4,9.1
2020-06-12,12.6,9.5
2020-06-13,14.6,10.3
2020-06-14,18.3,11.1
2020-06-15,18.7,12
2020-06-16,16.9,12.6
2020-06-17,19.8,12.6
2020-06-18,15.3,10.2
2020-06-19,17.6,11.4
2020-06-20,20.8,11.2
2020-06-21,18.5,11.9
2020-06-22,19.9,7.3
2020-06-23,23.2,14.4
2020-06-24,27.9,11.6
2020-06-25,26.2,13.6
2020-06-26,26.5,12
2020-06-27,18.2,11.3
2020-06-28,15,10.4
2020-06-29,16.5,11.1
2020-06-30,17.5,11.4
