Station,       CHARLWOOD 
Latitude,      51.14352 
Longtude,      -0.22786 
Eastings,      523950 
Northings,     139802 
Altitude (m),  67 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.3,8.6
2020-06-02,25.3,10.5
2020-06-03,19.9,8.2
2020-06-04,16.3,9.6
2020-06-05,17.3,9.5
2020-06-06,15,6.6
2020-06-07,20.2,6.5
2020-06-08,16.5,10.4
2020-06-09,19.7,9.1
2020-06-10,16.4,11.2
2020-06-11,19.8,9.7
2020-06-12,19.6,12.6
2020-06-13,24.8,10.2
2020-06-14,22.7,10.4
2020-06-15,23.4,8.4
2020-06-16,22,9.7
2020-06-17,23.1,9
2020-06-18,19.7,13.1
2020-06-19,19,12.3
2020-06-20,21.3,10.1
2020-06-21,21.8,13.1
2020-06-22,22.9,6.5
2020-06-23,27.8,8.6
2020-06-24,31,11.9
2020-06-25,32.3,14.7
2020-06-26,28.9,16.2
2020-06-27,19,13.7
2020-06-28,19.6,11.3
2020-06-29,19.7,11.3
2020-06-30,18.3,11.8
