Station,       WINTERBOURNE NO2 
Latitude,      52.45602 
Longtude,      -1.92619 
Eastings,      405015 
Northings,     284274 
Altitude (m),  140 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.3,10.1
2020-06-02,25.2,9.1
2020-06-03,13.3,12.9
2020-06-04,14.9,8.1
2020-06-05,14.7,7.5
2020-06-06,16.2,5.8
2020-06-07,15.9,7.8
2020-06-08,16.5,6.2
2020-06-09,18.7,8.8
2020-06-10,15.7,10.3
2020-06-11,17.4,10.4
2020-06-12,17.3,10.8
2020-06-13,24.2,13.1
2020-06-14,23.6,12.6
2020-06-15,24.7,12.3
2020-06-16,23.5,14.8
2020-06-17,20.7,10.5
2020-06-18,14.2,12.6
2020-06-19,16.7,12.6
2020-06-20,21.5,8.6
2020-06-21,19.7,12.1
2020-06-22,22.5,7.5
2020-06-23,26.5,11.9
2020-06-24,29.8,12.6
2020-06-25,30.6,15.4
2020-06-26,27.3,17.2
2020-06-27,19.6,13.3
2020-06-28,18.8,10.2
2020-06-29,14.7,12
2020-06-30,18.8,12.3
