Station,       ROSTHERNE NO 2 
Latitude,      53.3598 
Longtude,      -2.38053 
Eastings,      374678 
Northings,     384866 
Altitude (m),  35 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.4,6.5
2020-06-02,25.3,5.7
2020-06-03,13,12
2020-06-04,15.1,6.1
2020-06-05,15.3,8.2
2020-06-06,16.2,7.1
2020-06-07,17.2,9.4
2020-06-08,17.2,7.1
2020-06-09,18.5,8.7
2020-06-10,15.5,9.7
2020-06-11,16.8,11.4
2020-06-12,18.6,11.2
2020-06-13,23.8,13.2
2020-06-14,23.6,11.4
2020-06-15,23.6,10.7
2020-06-16,19.7,13.9
2020-06-17,22.2,11.2
2020-06-18,15.3,12.8
2020-06-19,17.3,12.4
2020-06-20,21.6,8.9
2020-06-21,20.2,12.2
2020-06-22,21.5,8.2
2020-06-23,24.4,15.4
2020-06-24,28.4,12.2
2020-06-25,28.9,15.2
2020-06-26,27.1,18
2020-06-27,19.7,13.5
2020-06-28,16.6,11
2020-06-29,14,11.3
2020-06-30,19,12.1
