Station,       ALMONDSBURY 
Latitude,      51.55091 
Longtude,      -2.558 
Eastings,      361315 
Northings,     183758 
Altitude (m),  75 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,24.5,10.6
2020-06-02,24.7,11.8
2020-06-03,15.1,13.7
2020-06-04,16.3,7.3
2020-06-05,17.3,10.1
2020-06-06,15.1,7
2020-06-07,18.5,5.2
2020-06-08,19.1,9.9
2020-06-09,19.8,8.5
2020-06-10,17,10.2
2020-06-11,18.1,10.4
2020-06-12,19.8,12
2020-06-13,21.9,11.3
2020-06-14,21.5,12.2
2020-06-15,21.2,9.2
2020-06-16,21.7,13.6
2020-06-17,21.9,10.8
2020-06-18,15.4,13.6
2020-06-19,17.1,12.5
2020-06-20,20.7,12.6
2020-06-21,18.1,12.8
2020-06-22,22,10.2
2020-06-23,26.1,11.3
2020-06-24,29.9,11.6
2020-06-25,31.1,15
2020-06-26,22.6,18.4
2020-06-27,18.7,14
2020-06-28,17.4,12
2020-06-29,16.7,12.8
2020-06-30,18.9,13.1
