WATTISHAM 
NGR = 6025E  2514N
Altitude = 89 metres
Latitude = 52:12N Longitude = 0:96E
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,23.3,8.6,
02/06/2020,23.7,7.7,
03/06/2020,19.6,10.6,
04/06/2020,14.7,10.2,
05/06/2020,14.0,8.3,
06/06/2020,13.7,4.2,
07/06/2020,13.8,5.1,
08/06/2020,14.8,8.8,
09/06/2020,17.4,4.8,
10/06/2020,13.3,9.3,
11/06/2020,18.4,9.6,
12/06/2020,20.0,12.5,
13/06/2020,23.4,13.4,
14/06/2020,23.0,11.6,
15/06/2020,24.0,11.0,
16/06/2020,23.1,12.9,
17/06/2020,22.0,12.8,
18/06/2020,20.6,12.0,
19/06/2020,20.2,11.8,
20/06/2020,21.0,9.5,
21/06/2020,21.8,14.1,
22/06/2020,22.5,7.9,
23/06/2020,25.2,11.5,
24/06/2020,28.2,15.0,
25/06/2020,28.0,15.9,
26/06/2020,27.8,17.0,
27/06/2020,20.9,14.2,
28/06/2020,20.5,11.4,
29/06/2020,19.9,10.5,
30/06/2020,19.0,12.5,


NOTTINGHAM  WATNALL 
NGR = 4503E  3456N
Altitude = 117 metres
Latitude = 53:01N Longitude = 1:25W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,23.5,7.8,
02/06/2020,24.1,8.7,
03/06/2020,13.6,11.6,
04/06/2020,14.5,8.0,
05/06/2020,13.4,6.5,
06/06/2020,15.8,6.7,
07/06/2020,13.2,8.3,
08/06/2020,13.8,7.3,
09/06/2020,17.2,6.5,
10/06/2020,14.7,9.3,
11/06/2020,15.4,9.8,
12/06/2020,15.1,10.6,
13/06/2020,23.5,12.7,
14/06/2020,22.1,11.4,
15/06/2020,21.9,11.6,
16/06/2020,21.8,12.7,
17/06/2020,21.9,12.7,
18/06/2020,15.7,12.5,
19/06/2020,16.9,10.9,
20/06/2020,21.4,9.1,
21/06/2020,18.6,12.7,
22/06/2020,22.8,8.1,
23/06/2020,25.9,12.6,
24/06/2020,29.2,14.8,
25/06/2020,28.9,15.2,
26/06/2020,28.9,15.4,
27/06/2020,20.7,14.1,
28/06/2020,18.0,10.7,
29/06/2020,14.9,11.5,
30/06/2020,19.2,12.3,


HEATHROW 
NGR = 5076E  1767N
